pre,pre_x,pre_y,pre_z,post_x,post_y,post_z,type,448.232,247.42,175.8,mappedSection,mappedSegRangeVar
720575940630420281,417.052,227.848,161.08,416.96,227.82,161.0,LPLC1,,,,dend[1196],0.48625493534252445
720575940625369884,407.352,230.656,168.16,407.432,230.756,168.12,LPLC1,,,,dend[1273],0.8554244804111962
720575940622932297,442.204,210.684,153.8,442.272,210.704,153.8,LPLC1,,,,dend[252],0.9190087896150481
720575940619506415,408.044,231.44,165.76,408.084,231.544,165.76,LPLC1,,,,dend[1263],0.3515298035726872
720575940613672931,433.392,216.944,160.08,433.488,216.936,160.0,LPLC1,,,,dend[304],0.3952871721836334
720575940639172816,402.356,229.048,167.36,402.44,229.172,167.36,LPLC1,,,,dend[1256],0.5866547728001331
720575940629079145,416.476,228.012,162.36,416.516,228.092,162.36,LPLC1,,,,dend[1191],0.7826831907285882
720575940634361336,408.384,228.116,163.4,408.304,228.06,163.36,LPLC1,,,,dend[1243],0.37443983088415694
720575940638787133,408.08,226.876,162.88,407.968,226.912,162.84,LPLC1,,,,dend[1213],0.5415075187039833
720575940638787133,409.252,226.848,162.08,409.264,226.692,162.12,LPLC1,,,,dend[1284],0.48946650930961755
720575940627806992,400.656,226.18,170.04,400.696,226.336,170.12,LPLC1,,,,dend[1218],0.9343594892254781
720575940615934150,428.304,212.588,156.92,428.268,212.676,156.92,LPLC1,,,,dend[344],0.09437696808435947
720575940622932297,431.608,213.576,156.36,431.62,213.46,156.36,LPLC1,,,,dend[346],0.37903476185152896
720575940632086573,447.412,211.252,155.8,447.368,211.356,155.76,LPLC1,,,,dend[262],0.4795572598793262
720575940619506415,406.256,226.804,168.8,406.352,226.924,168.76,LPLC1,,,,dend[1222],0.5834341775129571
720575940615999547,438.144,212.396,154.28,438.152,212.316,154.28,LPLC1,,,,dend[281],0.24354629541428588
720575940628324802,406.196,225.072,164.68,406.184,224.964,164.64,LPLC1,,,,dend[1235],0.6913811405089065
720575940640792973,397.592,222.784,157.24,397.648,222.736,157.28,LPLC1,,,,dend[1425],0.8509107961760299
720575940622932297,444.776,212.188,154.92,444.784,212.064,154.92,LPLC1,,,,dend[256],0.6156594054905514
720575940628324802,423.752,225.212,161.4,423.668,225.292,161.4,LPLC1,,,,dend[1183],0.22512731371184233
720575940622670845,410.504,225.348,162.24,410.616,225.316,162.24,LPLC1,,,,dend[1326],0.9921490169940063
720575940631104313,433.136,217.152,159.72,433.212,217.116,159.76,LPLC1,,,,dend[304],0.4731019137158403
720575940619506415,402.816,225.864,165.76,402.948,225.832,165.76,LPLC1,,,,dend[1227],0.45874493347724743
720575940632086573,442.28,209.86,153.44,442.196,209.776,153.48,LPLC1,,,,dend[252],0.47591762948058736
720575940629079145,412.156,224.632,162.76,412.232,224.556,162.76,LPLC1,,,,dend[1296],0.4516831167024587
720575940625369884,439.416,214.784,155.8,439.48,214.652,155.76,LPLC1,,,,dend[288],0.525593915765061
720575940629079145,444.26,212.072,154.8,444.292,211.96,154.8,LPLC1,,,,dend[256],0.43550056985423785
720575940637905478,413.016,224.016,167.0,412.984,223.912,166.96,LPLC1,,,,dend[1304],0.14302718006033532
720575940616298816,417.316,228.216,159.56,417.304,228.328,159.48,LPLC1,,,,dend[1199],0.3401020277994523
720575940627555197,438.716,212.924,155.76,438.652,212.836,155.76,LPLC1,,,,dend[282],0.41233833685744276
720575940629661381,426.672,215.66,162.12,426.728,215.548,162.08,LPLC1,,,,dend[308],0.5134843781313918
720575940622670845,406.996,224.604,164.64,406.984,224.468,164.68,LPLC1,,,,dend[1236],0.8028094837174011
720575940622670845,407.032,224.592,164.72,407.048,224.44,164.76,LPLC1,,,,dend[1236],0.9395006828965993
720575940630420281,417.008,227.868,161.12,416.86,227.788,161.12,LPLC1,,,,dend[1190],1.0
720575940608422958,429.08,213.112,155.36,429.104,213.256,155.36,LPLC1,,,,dend[338],0.4627121259689269
720575940639172816,420.076,221.58,165.16,420.02,221.468,165.2,LPLC1,,,,dend[1318],0.9125609980308256
720575940626721881,407.864,230.8,168.04,407.848,230.904,168.0,LPLC1,,,,dend[1273],0.7473196896662678
720575940616298816,436.924,212.532,158.16,437.06,212.612,158.16,LPLC1,,,,dend[291],0.9620903530506912
720575940626721881,427.228,216.436,161.04,427.284,216.516,161.04,LPLC1,,,,dend[311],0.198586922789632
720575940627806992,446.424,211.232,156.36,446.392,211.18,156.36,LPLC1,,,,dend[262],0.8604082163397905
720575940615934150,414.94,227.376,160.56,415.112,227.368,160.56,LPLC1,,,,dend[1159],0.8594669612575222
720575940608422958,407.108,228.832,164.12,406.936,229.0,164.08,LPLC1,,,,dend[1243],0.8723520761730286
720575940616934356,405.844,229.684,165.48,405.732,229.644,165.44,LPLC1,,,,dend[1245],0.4450016660089271
720575940613228241,406.412,230.184,166.6,406.516,230.24,166.6,LPLC1,,,,dend[1270],0.764209504626248
720575940626260490,446.952,211.48,154.44,447.04,211.568,154.44,LPLC1,,,,dend[259],0.42114356550038884
720575940608422958,400.256,220.616,160.72,400.188,220.664,160.76,LPLC1,,,,dend[1479],0.5408838063716501
720575940628324802,439.184,210.92,154.76,439.064,210.988,154.72,LPLC1,,,,dend[360],0.43713120941651634
720575940636983518,429.912,213.072,154.84,429.812,213.1,154.8,LPLC1,,,,dend[338],0.19973890611938003
720575940628324802,435.272,217.592,159.4,435.236,217.476,159.4,LPLC1,,,,dend[303],1.0
720575940625369884,429.072,214.912,158.92,429.072,214.804,158.88,LPLC1,,,,dend[353],0.1536401709108462
720575940636703977,439.96,213.824,155.12,439.788,213.816,155.12,LPLC1,,,,dend[286],0.8207649798611314
720575940616934356,404.72,229.776,166.04,404.668,229.888,166.04,LPLC1,,,,dend[1246],0.16476170850541158
720575940614453679,423.8,231.464,149.08,423.888,231.552,149.08,LPLC1,,,,dend[1751],0.3848445146201741
720575940615934150,438.552,218.876,159.08,438.512,218.996,159.08,LPLC1,,,,dend[301],0.015677789581827667
720575940608422958,419.664,224.408,159.64,419.564,224.376,159.64,LPLC1,,,,dend[1176],0.7643322999442252
720575940616403771,433.468,214.552,156.16,433.584,214.52,156.12,LPLC1,,,,dend[358],0.8635212284340957
720575940628716294,414.752,221.4,164.4,414.776,221.292,164.4,LPLC1,,,,dend[1322],0.6419551006165983
720575940646708788,438.604,211.792,156.76,438.54,211.78,156.76,LPLC1,,,,dend[283],0.5026042007654312
720575940616934356,405.816,229.652,165.48,405.632,229.624,165.48,LPLC1,,,,dend[1245],0.49030198054003765
720575940611017130,441.944,210.628,154.6,442.044,210.616,154.6,LPLC1,,,,dend[273],0.15592663673532067
720575940615999547,406.324,226.796,169.2,406.412,226.812,169.2,LPLC1,,,,dend[1222],0.7286033909863344
720575940615934150,436.632,219.812,160.04,436.66,219.944,160.0,LPLC1,,,,dend[302],0.9687323510351481
720575940605598594,445.852,212.32,154.76,445.772,212.236,154.72,LPLC1,,,,dend[257],0.19901601060813318
720575940614362380,412.124,224.264,162.24,412.024,224.208,162.24,LPLC1,,,,dend[1294],1.0
720575940626721881,419.008,225.488,161.96,419.144,225.48,161.96,LPLC1,,,,dend[1185],0.3399988473461795
720575940627555197,438.736,212.896,155.76,438.672,212.788,155.8,LPLC1,,,,dend[282],0.44296524447499475
720575940626721881,408.7,231.072,167.32,408.72,231.192,167.32,LPLC1,,,,dend[1282],0.04473606983316755
