pre,pre_x,pre_y,pre_z,post_x,post_y,post_z,type,Unnamed: 9,248.972,mappedSection,mappedSegRangeVar
720575940612518055,413.028,243.968,152.12,413.052,243.876,152.12,LC4,,,dend[1442],0.47885380491274887
720575940615462587,433.276,232.412,153.64,433.24,232.412,153.68,LC4,,,dend[276],0.7829132227987657
720575940649229433,422.208,237.792,149.96,422.156,237.664,149.96,LC4,,,dend[355],1.0
720575940610522009,412.912,242.98,158.08,412.824,242.9,158.08,LC4,,,dend[724],0.9841985957267885
720575940619315696,391.568,243.768,164.4,391.704,243.74,164.4,LC4,,,dend[1257],1.0
720575940626626895,416.216,231.256,151.24,416.24,231.108,151.24,LC4,,,dend[622],1.0
720575940610522009,421.496,241.38,156.16,421.38,241.26,156.2,LC4,,,dend[746],0.6932618630322518
720575940625038090,416.38,233.2,155.88,416.376,233.328,155.88,LC4,,,dend[540],0.3777895721727852
720575940611134833,415.072,235.52,157.64,415.156,235.604,157.64,LC4,,,dend[606],0.7699401698226781
720575940619315696,427.48,230.104,153.08,427.38,230.168,153.04,LC4,,,dend[835],1.0
720575940619700229,398.08,249.06,159.0,398.012,248.972,159.0,LC4,,,dend[920],0.589444264518979
720575940622539800,397.128,246.48,164.52,397.12,246.328,164.52,LC4,,,dend[1077],0.4678732942242897
720575940617266722,413.176,241.496,160.76,413.12,241.644,160.76,LC4,,,dend[717],1.0
720575940649229433,400.888,237.956,165.0,400.884,237.848,165.0,LC4,,,dend[976],0.49383286962246586
720575940618113300,408.928,245.544,157.92,408.992,245.648,157.92,LC4,,,dend[1403],0.5004402398732806
720575940633580384,409.348,242.728,162.36,409.28,242.872,162.32,LC4,,,dend[514],0.9774645797908111
720575940630826552,415.632,240.564,154.88,415.564,240.644,154.92,LC4,,,dend[756],0.8149557005340275
720575940618676440,407.932,243.924,161.56,407.84,243.832,161.6,LC4,,,dend[1416],0.16529421439727005
720575940620903551,408.08,237.472,164.28,408.056,237.356,164.24,LC4,,,dend[480],1.0
720575940626626895,418.376,243.988,157.32,418.252,244.112,157.32,LC4,,,dend[741],0.9741036151326701
720575940611134833,420.976,240.052,149.32,420.844,240.008,149.28,LC4,,,dend[354],0.5664017292202369
720575940628122883,421.584,245.944,146.84,421.484,245.936,146.84,LC4,,,dend[1466],1.0
720575940629753807,427.86,233.856,146.52,427.844,233.96,146.52,LC4,,,dend[823],0.2285564483781479
