pre,pre_x,pre_y,pre_z,post_x,post_y,post_z,type,mappedSection,mappedSegRangeVar
720575940622539800,427.6,235.328,153.2,427.672,235.24,153.2,LC4,dend[1565],0.18797714120027087
720575940632769180,421.872,241.948,149.72,421.836,242.024,149.68,LC4,dend[1650],0.9586068797231703
720575940615127227,413.872,238.36,155.4,413.912,238.464,155.4,LC4,dend[1622],0.7340018284110091
,,,,,,,,dend_11[0],
720575940617176321,426.688,241.72,148.96,426.608,241.832,148.92,LC4,dend[1463],0.2298074741146846
720575940629753807,415.488,238.036,158.92,415.38,238.156,158.96,LC4,dend[1600],0.9199619070127347
720575940614914107,425.064,239.32,147.72,425.136,239.272,147.72,LC4,dend[1476],1.0
720575940614914107,406.164,244.784,158.28,406.268,244.692,158.28,LC4,dend[1955],0.4234200790282902
720575940615053580,424.48,240.052,150.72,424.416,240.132,150.72,LC4,dend[1719],0.9560094336400515
720575940629753807,430.524,231.74,150.6,430.464,231.84,150.64,LC4,dend[1558],0.43213978714258394
720575940612518055,411.948,242.984,152.84,412.04,242.92,152.8,LC4,dend[2042],1.0
720575940620903551,429.928,234.052,154.04,429.904,234.16,154.08,LC4,dend[1567],0.8442528487081545
720575940628064260,436.44,239.024,143.72,436.548,238.968,143.72,LC4,dend[1832],0.8817356175846532
720575940628122883,421.06,238.42,157.68,421.176,238.448,157.68,LC4,dend[1693],0.3565597089576669
720575940638496720,413.8,243.824,158.36,413.924,243.852,158.36,LC4,dend[1627],0.44774405282450946
720575940615127227,423.192,239.844,150.52,423.152,239.96,150.56,LC4,dend[1720],0.8466527537574636
720575940618312606,405.544,241.752,164.04,405.44,241.676,164.04,LC4,dend[1976],0.8019446187211897
720575940631338271,415.624,245.328,151.92,415.632,245.464,151.88,LC4,dend[1644],0.38867823299137355
720575940616713355,437.104,231.36,143.44,437.096,231.468,143.44,LC4,dend[1800],0.22430755103165084
720575940634517856,407.148,244.288,155.88,407.012,244.256,155.88,LC4,dend[1949],1.0
720575940622939836,414.768,243.536,156.08,414.66,243.452,156.04,LC4,dend[1624],0.8297500162682849
720575940633580384,408.248,244.416,154.52,408.128,244.38,154.52,LC4,dend[1945],1.0
720575940617026260,434.548,233.92,150.96,434.608,234.008,150.96,LC4,dend[1511],0.9937898418934724
720575940618676440,431.42,234.492,146.76,431.364,234.576,146.72,LC4,dend[1579],0.8928253106229714
720575940626626895,418.528,243.944,157.2,418.396,243.944,157.16,LC4,dend[1681],0.6450109386435445
720575940605598892,404.944,241.64,163.4,405.0,241.74,163.44,LC4,dend[1976],0.4467614470299373
720575940631338271,427.208,241.636,149.48,427.2,241.752,149.44,LC4,dend[1463],0.41823465501893636
720575940612518055,415.488,239.936,160.64,415.428,239.8,160.64,LC4,dend[1606],0.9731444299157451
720575940638496720,437.804,239.44,142.92,437.828,239.372,143.0,LC4,dend[1814],0.9553513119324248
720575940617266722,420.432,241.612,155.92,420.472,241.744,155.92,LC4,dend[1677],0.6918216261955942
720575940638456227,431.756,239.736,143.16,431.872,239.696,143.16,LC4,dend[1844],0.9158122492721479
